,Calc 1 Score,Calc 2 Score
0,35,18
1,35,29
2,36,18
3,36,27
4,36,27
5,38,36
6,38,37
7,38,21
8,38,35
9,40,25
10,40,30
11,41,35
12,42,39
13,44,40
14,44,29
15,45,37
16,47,42
17,47,36
18,48,28
19,48,41
20,49,34
21,52,32
22,52,38
23,53,30
24,53,30
25,54,31
26,54,35
27,55,43
28,55,38
29,55,50
30,56,41
31,57,32
32,58,46
33,58,42
34,58,50
35,59,53
36,60,39
37,61,35
38,62,39
39,65,40
40,66,40
41,66,47
42,67,60
43,68,45
44,70,57
45,70,51
46,71,48
47,71,52
48,71,65
49,72,59
50,72,64
51,72,53
52,73,57
53,73,60
54,74,62
55,74,68
56,74,73
57,74,70
58,74,58
59,74,65
60,74,68
61,75,66
62,75,61
63,76,58
64,76,62
65,77,68
66,77,62
67,77,80
68,78,75
69,78,78
70,79,62
71,79,70
72,79,74
73,82,72
74,83,66
75,83,69
76,85,67
77,86,80
78,86,74
79,86,80
80,86,79
81,87,84
82,87,66
83,89,75
84,90,77
85,91,80
86,92,83
87,93,93
88,94,76
89,94,77
90,94,89
91,95,77
92,95,91
93,96,94
94,98,91
95,98,89
96,99,98
97,100,83
98,100,80
99,100,91
